year,count
"201007","2"
"201008","4"
"201009","12"
"201010","8"
"201011","6"
"201012","5"
"201101","4"
"201102","16"
"201103","9"
"201104","9"
"201105","14"
"201106","11"
"201107","17"
"201108","26"
"201109","22"
"201110","31"
"201111","28"
"201112","30"
"201201","27"
"201202","39"
"201203","45"
"201204","41"
"201205","56"
"201206","79"
"201207","75"
"201208","102"
"201209","77"
"201210","72"
"201211","116"
"201212","122"
"201301","155"
"201302","136"
"201303","124"
"201304","150"
"201305","148"
"201306","163"
"201307","200"
"201308","190"
"201309","146"
"201310","209"
"201311","174"
"201312","175"
"201401","205"
"201402","257"
"201403","255"
"201404","253"
"201405","222"
"201406","262"
"201407","253"
"201408","227"
"201409","204"
"201410","234"
"201411","220"
"201412","236"
"201501","278"
"201502","287"
"201503","316"
"201504","306"
"201505","305"
"201506","382"
"201507","392"
"201508","361"
"201509","328"
"201510","325"
"201511","281"
"201512","317"
"201601","376"
"201602","329"
"201603","326"
"201604","289"
"201605","335"
"201606","292"
"201607","336"
"201608","278"
"201609","258"
"201610","294"
"201611","378"
"201612","396"
"201701","371"
"201702","357"
"201703","450"
"201704","337"
"201705","392"
"201706","435"
"201707","390"
"201708","406"
"201709","386"
"201710","362"
"201711","365"
"201712","330"
"201801","362"
"201802","395"
"201803","452"
"201804","529"
"201805","499"
"201806","496"
"201807","537"
"201808","497"
"201809","436"
"201810","461"
"201811","535"
"201812","531"
"201901","450"
"201902","419"
"201903","494"
"201904","505"
"201905","565"
"201906","437"
"201907","598"
"201908","553"
"201909","539"
"201910","616"
"201911","619"
"201912","585"
"202001","633"
"202002","643"
"202003","685"
"202004","885"
"202005","1091"
"202006","1163"
"202007","1106"
"202008","824"
"202009","709"
"202010","646"
"202011","419"
"202012","651"
"202101","785"
"202102","754"
"202103","769"
"202104","809"
"202105","896"
"202106","940"
"202107","803"
"202108","559"
"202109","553"
"202110","535"
"202111","743"
"202112","265"
