year,count
"200812","1"
"200901","1"
"200902","2"
"200903","2"
"200908","3"
"200909","3"
"200910","4"
"200912","4"
"201001","6"
"201002","1"
"201003","2"
"201004","2"
"201005","2"
"201006","6"
"201007","5"
"201008","5"
"201009","3"
"201010","6"
"201011","8"
"201012","2"
"201101","8"
"201102","10"
"201103","8"
"201104","6"
"201105","7"
"201106","5"
"201107","6"
"201108","9"
"201109","7"
"201110","8"
"201111","26"
"201112","17"
"201201","19"
"201202","16"
"201203","22"
"201204","17"
"201205","21"
"201206","53"
"201207","48"
"201208","45"
"201209","38"
"201210","26"
"201211","30"
"201212","32"
"201301","44"
"201302","38"
"201303","38"
"201304","38"
"201305","32"
"201306","39"
"201307","37"
"201308","32"
"201309","23"
"201310","37"
"201311","32"
"201312","51"
"201401","43"
"201402","52"
"201403","42"
"201404","51"
"201405","39"
"201406","49"
"201407","47"
"201408","42"
"201409","35"
"201410","38"
"201411","52"
"201412","23"
"201501","42"
"201502","48"
"201503","45"
"201504","55"
"201505","57"
"201506","48"
"201507","64"
"201508","59"
"201509","53"
"201510","61"
"201511","54"
"201512","47"
"201601","60"
"201602","68"
"201603","62"
"201604","55"
"201605","56"
"201606","46"
"201607","55"
"201608","52"
"201609","46"
"201610","61"
"201611","68"
"201612","65"
"201701","77"
"201702","74"
"201703","76"
"201704","56"
"201705","76"
"201706","66"
"201707","81"
"201708","78"
"201709","63"
"201710","83"
"201711","68"
"201712","65"
"201801","59"
"201802","69"
"201803","68"
"201804","65"
"201805","76"
"201806","70"
"201807","76"
"201808","87"
"201809","85"
"201810","76"
"201811","74"
"201812","80"
"201901","73"
"201902","74"
"201903","83"
"201904","86"
"201905","93"
"201906","78"
"201907","84"
"201908","91"
"201909","83"
"201910","74"
"201911","97"
"201912","69"
"202001","70"
"202002","92"
"202003","91"
"202004","95"
"202005","144"
"202006","126"
"202007","127"
"202008","110"
"202009","98"
"202010","72"
"202011","72"
"202012","94"
"202101","122"
"202102","113"
"202103","122"
"202104","125"
"202105","100"
"202106","132"
"202107","120"
"202108","86"
"202109","107"
"202110","93"
"202111","113"
"202112","40"
