year,count
"200912","1"
"201204","1"
"201205","2"
"201208","1"
"201209","1"
"201211","1"
"201212","1"
"201301","2"
"201303","2"
"201304","1"
"201305","2"
"201306","1"
"201307","4"
"201308","2"
"201309","8"
"201310","2"
"201311","3"
"201312","1"
"201401","5"
"201402","4"
"201403","4"
"201404","3"
"201405","3"
"201406","3"
"201407","2"
"201408","2"
"201409","5"
"201410","2"
"201411","2"
"201501","4"
"201502","4"
"201503","6"
"201504","5"
"201505","1"
"201506","5"
"201507","1"
"201508","9"
"201509","7"
"201510","6"
"201511","5"
"201512","37"
"201601","69"
"201602","95"
"201603","103"
"201604","100"
"201605","106"
"201606","103"
"201607","92"
"201608","104"
"201609","87"
"201610","102"
"201611","114"
"201612","99"
"201701","123"
"201702","134"
"201703","163"
"201704","165"
"201705","158"
"201706","146"
"201707","157"
"201708","172"
"201709","167"
"201710","156"
"201711","207"
"201712","172"
"201801","205"
"201802","195"
"201803","266"
"201804","200"
"201805","234"
"201806","234"
"201807","220"
"201808","233"
"201809","222"
"201810","273"
"201811","238"
"201812","198"
"201901","248"
"201902","285"
"201903","385"
"201904","297"
"201905","303"
"201906","252"
"201907","339"
"201908","277"
"201909","271"
"201910","338"
"201911","293"
"201912","264"
"202001","317"
"202002","322"
"202003","307"
"202004","433"
"202005","422"
"202006","386"
"202007","383"
"202008","333"
"202009","294"
"202010","359"
"202011","300"
"202012","345"
"202101","455"
"202102","412"
"202103","463"
"202104","404"
"202105","393"
"202106","390"
"202107","411"
"202108","404"
"202109","378"
"202110","400"
"202111","394"
"202112","165"
