year,count
"200809","3"
"200810","2"
"200811","3"
"200812","4"
"200901","7"
"200902","7"
"200903","4"
"200904","7"
"200905","7"
"200906","13"
"200907","6"
"200908","9"
"200909","8"
"200910","27"
"200911","39"
"200912","26"
"201001","21"
"201002","40"
"201003","39"
"201004","42"
"201005","30"
"201006","43"
"201007","36"
"201008","49"
"201009","42"
"201010","50"
"201011","66"
"201012","64"
"201101","51"
"201102","62"
"201103","116"
"201104","101"
"201105","93"
"201106","85"
"201107","95"
"201108","124"
"201109","120"
"201110","139"
"201111","107"
"201112","108"
"201201","144"
"201202","150"
"201203","167"
"201204","156"
"201205","172"
"201206","178"
"201207","203"
"201208","222"
"201209","230"
"201210","247"
"201211","279"
"201212","209"
"201301","256"
"201302","283"
"201303","328"
"201304","384"
"201305","362"
"201306","295"
"201307","415"
"201308","337"
"201309","394"
"201310","451"
"201311","486"
"201312","403"
"201401","487"
"201402","556"
"201403","565"
"201404","506"
"201405","509"
"201406","435"
"201407","480"
"201408","467"
"201409","425"
"201410","520"
"201411","459"
"201412","420"
"201501","493"
"201502","552"
"201503","646"
"201504","593"
"201505","626"
"201506","600"
"201507","650"
"201508","560"
"201509","533"
"201510","601"
"201511","667"
"201512","584"
"201601","685"
"201602","752"
"201603","807"
"201604","820"
"201605","690"
"201606","769"
"201607","789"
"201608","758"
"201609","763"
"201610","794"
"201611","836"
"201612","746"
"201701","798"
"201702","931"
"201703","1089"
"201704","1024"
"201705","962"
"201706","956"
"201707","1014"
"201708","978"
"201709","908"
"201710","1097"
"201711","1076"
"201712","924"
"201801","1002"
"201802","1010"
"201803","1057"
"201804","968"
"201805","957"
"201806","931"
"201807","1045"
"201808","976"
"201809","899"
"201810","1002"
"201811","1017"
"201812","908"
"201901","916"
"201902","1071"
"201903","1209"
"201904","1131"
"201905","1014"
"201906","894"
"201907","1069"
"201908","1029"
"201909","948"
"201910","1197"
"201911","1166"
"201912","1031"
"202001","1029"
"202002","1190"
"202003","1217"
"202004","1514"
"202005","1615"
"202006","1475"
"202007","1442"
"202008","1180"
"202009","1181"
"202010","1301"
"202011","1260"
"202012","1262"
"202101","1251"
"202102","1258"
"202103","1516"
"202104","1345"
"202105","1311"
"202106","1213"
"202107","1228"
"202108","1045"
"202109","1074"
"202110","1230"
"202111","1269"
"202112","483"
