year,count
"201103","1"
"201104","2"
"201106","2"
"201109","1"
"201110","4"
"201111","2"
"201112","1"
"201201","6"
"201202","4"
"201203","30"
"201204","26"
"201205","43"
"201206","50"
"201207","66"
"201208","88"
"201209","93"
"201210","103"
"201211","120"
"201212","124"
"201301","157"
"201302","186"
"201303","173"
"201304","190"
"201305","226"
"201306","246"
"201307","289"
"201308","284"
"201309","241"
"201310","359"
"201311","356"
"201312","332"
"201401","451"
"201402","406"
"201403","527"
"201404","492"
"201405","462"
"201406","461"
"201407","484"
"201408","481"
"201409","489"
"201410","486"
"201411","516"
"201412","416"
"201501","483"
"201502","536"
"201503","674"
"201504","707"
"201505","671"
"201506","770"
"201507","861"
"201508","756"
"201509","803"
"201510","946"
"201511","894"
"201512","892"
"201601","913"
"201602","1039"
"201603","1116"
"201604","1194"
"201605","1279"
"201606","1284"
"201607","1471"
"201608","1369"
"201609","1314"
"201610","1347"
"201611","1503"
"201612","1415"
"201701","1535"
"201702","1564"
"201703","1985"
"201704","1838"
"201705","1923"
"201706","1979"
"201707","2077"
"201708","2135"
"201709","1965"
"201710","2173"
"201711","2139"
"201712","1871"
"201801","2188"
"201802","2212"
"201803","2668"
"201804","2481"
"201805","2576"
"201806","2690"
"201807","2984"
"201808","2909"
"201809","2532"
"201810","2887"
"201811","2902"
"201812","2425"
"201901","2805"
"201902","2950"
"201903","3283"
"201904","3221"
"201905","3185"
"201906","2884"
"201907","3489"
"201908","3389"
"201909","3028"
"201910","3730"
"201911","3492"
"201912","3313"
"202001","3753"
"202002","3764"
"202003","3935"
"202004","4819"
"202005","5000"
"202006","4857"
"202007","4635"
"202008","4049"
"202009","3912"
"202010","4115"
"202011","3904"
"202012","3875"
"202101","3962"
"202102","4184"
"202103","4981"
"202104","4324"
"202105","4205"
"202106","4313"
"202107","4149"
"202108","4060"
"202109","3811"
"202110","4029"
"202111","4337"
"202112","1664"
