year,count
"200812","1"
"200903","1"
"200904","1"
"200906","1"
"200907","1"
"200909","2"
"200910","2"
"200911","2"
"200912","5"
"201001","2"
"201002","3"
"201003","4"
"201004","2"
"201005","5"
"201006","3"
"201007","5"
"201008","4"
"201009","4"
"201010","7"
"201011","8"
"201012","6"
"201101","13"
"201102","17"
"201103","16"
"201104","14"
"201105","9"
"201106","11"
"201107","20"
"201108","16"
"201109","13"
"201110","14"
"201111","14"
"201112","17"
"201201","31"
"201202","33"
"201203","30"
"201204","29"
"201205","27"
"201206","34"
"201207","33"
"201208","34"
"201209","42"
"201210","39"
"201211","31"
"201212","37"
"201301","50"
"201302","47"
"201303","41"
"201304","57"
"201305","46"
"201306","38"
"201307","58"
"201308","62"
"201309","66"
"201310","60"
"201311","61"
"201312","70"
"201401","105"
"201402","70"
"201403","97"
"201404","93"
"201405","71"
"201406","89"
"201407","87"
"201408","63"
"201409","92"
"201410","77"
"201411","82"
"201412","78"
"201501","115"
"201502","101"
"201503","96"
"201504","117"
"201505","122"
"201506","112"
"201507","119"
"201508","99"
"201509","95"
"201510","106"
"201511","135"
"201512","127"
"201601","158"
"201602","154"
"201603","151"
"201604","166"
"201605","144"
"201606","127"
"201607","150"
"201608","150"
"201609","110"
"201610","120"
"201611","148"
"201612","157"
"201701","174"
"201702","160"
"201703","192"
"201704","164"
"201705","181"
"201706","186"
"201707","187"
"201708","166"
"201709","171"
"201710","186"
"201711","178"
"201712","141"
"201801","189"
"201802","187"
"201803","184"
"201804","300"
"201805","270"
"201806","239"
"201807","246"
"201808","218"
"201809","187"
"201810","197"
"201811","220"
"201812","177"
"201901","215"
"201902","223"
"201903","219"
"201904","185"
"201905","192"
"201906","201"
"201907","212"
"201908","195"
"201909","165"
"201910","276"
"201911","244"
"201912","226"
"202001","262"
"202002","252"
"202003","277"
"202004","312"
"202005","361"
"202006","309"
"202007","334"
"202008","264"
"202009","246"
"202010","375"
"202011","294"
"202012","289"
"202101","404"
"202102","298"
"202103","341"
"202104","288"
"202105","306"
"202106","239"
"202107","252"
"202108","262"
"202109","227"
"202110","274"
"202111","264"
"202112","124"
