year,count
"200808","2"
"200809","1"
"200810","1"
"200811","2"
"200812","5"
"200902","4"
"200903","7"
"200904","6"
"200905","2"
"200906","1"
"200907","8"
"200908","9"
"200909","7"
"200910","12"
"200911","5"
"200912","6"
"201001","10"
"201002","4"
"201003","7"
"201004","10"
"201005","11"
"201006","5"
"201007","10"
"201008","5"
"201009","5"
"201010","13"
"201011","14"
"201012","18"
"201101","10"
"201102","14"
"201103","13"
"201104","17"
"201105","22"
"201106","39"
"201107","23"
"201108","15"
"201109","21"
"201110","24"
"201111","26"
"201112","34"
"201201","43"
"201202","32"
"201203","37"
"201204","62"
"201205","48"
"201206","45"
"201207","40"
"201208","42"
"201209","24"
"201210","48"
"201211","53"
"201212","61"
"201301","77"
"201302","65"
"201303","68"
"201304","90"
"201305","83"
"201306","104"
"201307","101"
"201308","78"
"201309","94"
"201310","129"
"201311","175"
"201312","151"
"201401","168"
"201402","132"
"201403","123"
"201404","155"
"201405","123"
"201406","91"
"201407","117"
"201408","62"
"201409","61"
"201410","77"
"201411","79"
"201412","103"
"201501","119"
"201502","93"
"201503","103"
"201504","147"
"201505","106"
"201506","101"
"201507","109"
"201508","103"
"201509","67"
"201510","109"
"201511","105"
"201512","129"
"201601","159"
"201602","118"
"201603","112"
"201604","130"
"201605","140"
"201606","119"
"201607","116"
"201608","93"
"201609","64"
"201610","97"
"201611","120"
"201612","130"
"201701","144"
"201702","120"
"201703","124"
"201704","145"
"201705","148"
"201706","145"
"201707","116"
"201708","140"
"201709","107"
"201710","113"
"201711","135"
"201712","196"
"201801","153"
"201802","109"
"201803","121"
"201804","125"
"201805","149"
"201806","119"
"201807","124"
"201808","156"
"201809","117"
"201810","105"
"201811","126"
"201812","138"
"201901","162"
"201902","137"
"201903","173"
"201904","189"
"201905","178"
"201906","152"
"201907","142"
"201908","127"
"201909","125"
"201910","161"
"201911","194"
"201912","193"
"202001","262"
"202002","203"
"202003","234"
"202004","356"
"202005","375"
"202006","366"
"202007","308"
"202008","306"
"202009","282"
"202010","292"
"202011","267"
"202012","266"
"202101","326"
"202102","202"
"202103","322"
"202104","282"
"202105","256"
"202106","281"
"202107","201"
"202108","222"
"202109","177"
"202110","214"
"202111","232"
"202112","114"
