year,count
"200810","1"
"200811","1"
"200901","1"
"200903","1"
"200905","1"
"200911","2"
"200912","1"
"201001","2"
"201003","1"
"201004","2"
"201005","2"
"201007","1"
"201011","1"
"201012","1"
"201101","2"
"201102","1"
"201103","2"
"201104","2"
"201105","2"
"201106","2"
"201107","5"
"201108","1"
"201109","4"
"201110","5"
"201111","1"
"201112","1"
"201201","4"
"201202","5"
"201203","6"
"201204","7"
"201205","4"
"201206","3"
"201207","9"
"201208","10"
"201209","6"
"201210","14"
"201211","5"
"201212","13"
"201301","12"
"201302","16"
"201303","11"
"201304","13"
"201305","16"
"201306","14"
"201307","14"
"201308","18"
"201309","18"
"201310","17"
"201311","12"
"201312","13"
"201401","13"
"201402","11"
"201403","24"
"201404","19"
"201405","13"
"201406","19"
"201407","15"
"201408","18"
"201409","18"
"201410","8"
"201411","11"
"201412","7"
"201501","9"
"201502","11"
"201503","23"
"201504","15"
"201505","18"
"201506","29"
"201507","13"
"201508","22"
"201509","27"
"201510","27"
"201511","23"
"201512","30"
"201601","34"
"201602","26"
"201603","37"
"201604","24"
"201605","29"
"201606","30"
"201607","30"
"201608","50"
"201609","33"
"201610","27"
"201611","35"
"201612","37"
"201701","42"
"201702","32"
"201703","33"
"201704","27"
"201705","51"
"201706","29"
"201707","33"
"201708","36"
"201709","29"
"201710","45"
"201711","48"
"201712","55"
"201801","43"
"201802","53"
"201803","64"
"201804","64"
"201805","64"
"201806","42"
"201807","76"
"201808","58"
"201809","51"
"201810","40"
"201811","55"
"201812","46"
"201901","60"
"201902","52"
"201903","65"
"201904","70"
"201905","59"
"201906","69"
"201907","102"
"201908","84"
"201909","54"
"201910","60"
"201911","59"
"201912","69"
"202001","69"
"202002","73"
"202003","87"
"202004","98"
"202005","121"
"202006","103"
"202007","133"
"202008","113"
"202009","91"
"202010","90"
"202011","88"
"202012","101"
"202101","120"
"202102","108"
"202103","131"
"202104","114"
"202105","120"
"202106","146"
"202107","116"
"202108","128"
"202109","111"
"202110","100"
"202111","95"
"202112","44"
