year,count
"200809","2"
"200810","1"
"200901","5"
"200902","5"
"200903","7"
"200904","11"
"200905","10"
"200906","10"
"200907","13"
"200908","19"
"200909","13"
"200910","18"
"200911","30"
"200912","21"
"201001","25"
"201002","31"
"201003","20"
"201004","37"
"201005","23"
"201006","29"
"201007","28"
"201008","24"
"201009","41"
"201010","29"
"201011","41"
"201012","24"
"201101","45"
"201102","32"
"201103","45"
"201104","43"
"201105","71"
"201106","60"
"201107","43"
"201108","54"
"201109","44"
"201110","62"
"201111","66"
"201112","82"
"201201","97"
"201202","75"
"201203","52"
"201204","46"
"201205","71"
"201206","76"
"201207","78"
"201208","80"
"201209","62"
"201210","60"
"201211","80"
"201212","106"
"201301","77"
"201302","80"
"201303","93"
"201304","105"
"201305","92"
"201306","73"
"201307","103"
"201308","97"
"201309","94"
"201310","84"
"201311","81"
"201312","93"
"201401","132"
"201402","116"
"201403","126"
"201404","165"
"201405","106"
"201406","116"
"201407","105"
"201408","105"
"201409","93"
"201410","104"
"201411","81"
"201412","97"
"201501","124"
"201502","122"
"201503","105"
"201504","106"
"201505","105"
"201506","113"
"201507","99"
"201508","96"
"201509","90"
"201510","82"
"201511","102"
"201512","110"
"201601","114"
"201602","138"
"201603","113"
"201604","129"
"201605","141"
"201606","119"
"201607","130"
"201608","100"
"201609","124"
"201610","129"
"201611","126"
"201612","136"
"201701","179"
"201702","138"
"201703","184"
"201704","159"
"201705","164"
"201706","153"
"201707","176"
"201708","162"
"201709","168"
"201710","164"
"201711","149"
"201712","138"
"201801","154"
"201802","149"
"201803","185"
"201804","155"
"201805","157"
"201806","134"
"201807","160"
"201808","136"
"201809","113"
"201810","178"
"201811","146"
"201812","120"
"201901","120"
"201902","131"
"201903","154"
"201904","187"
"201905","145"
"201906","149"
"201907","184"
"201908","140"
"201909","119"
"201910","130"
"201911","150"
"201912","142"
"202001","135"
"202002","141"
"202003","154"
"202004","158"
"202005","148"
"202006","190"
"202007","161"
"202008","123"
"202009","72"
"202010","102"
"202011","95"
"202012","113"
"202101","130"
"202102","122"
"202103","137"
"202104","121"
"202105","118"
"202106","105"
"202107","105"
"202108","102"
"202109","91"
"202110","88"
"202111","101"
"202112","49"
