year,count
"200901","1"
"200903","1"
"200904","1"
"200905","2"
"200906","1"
"200907","1"
"200908","1"
"200911","1"
"200912","1"
"201001","1"
"201002","5"
"201005","1"
"201006","3"
"201007","2"
"201008","1"
"201009","3"
"201010","2"
"201011","7"
"201012","3"
"201101","2"
"201102","3"
"201103","6"
"201104","4"
"201105","9"
"201106","5"
"201107","4"
"201108","5"
"201109","6"
"201110","7"
"201111","7"
"201112","4"
"201201","3"
"201202","3"
"201203","4"
"201204","2"
"201205","4"
"201206","9"
"201207","8"
"201208","11"
"201209","7"
"201210","6"
"201211","6"
"201212","6"
"201301","10"
"201302","11"
"201303","9"
"201304","10"
"201305","9"
"201306","13"
"201307","17"
"201308","12"
"201309","13"
"201310","19"
"201311","20"
"201312","13"
"201401","15"
"201402","21"
"201403","11"
"201404","8"
"201405","7"
"201406","13"
"201407","12"
"201408","11"
"201409","8"
"201410","14"
"201411","11"
"201412","8"
"201501","18"
"201502","12"
"201503","14"
"201504","16"
"201505","12"
"201506","18"
"201507","21"
"201508","26"
"201509","7"
"201510","17"
"201511","11"
"201512","4"
"201601","14"
"201602","10"
"201603","20"
"201604","17"
"201605","21"
"201606","13"
"201607","18"
"201608","32"
"201609","18"
"201610","14"
"201611","26"
"201612","18"
"201701","20"
"201702","19"
"201703","21"
"201704","17"
"201705","22"
"201706","24"
"201707","31"
"201708","24"
"201709","11"
"201710","22"
"201711","15"
"201712","21"
"201801","22"
"201802","15"
"201803","28"
"201804","21"
"201805","21"
"201806","8"
"201807","26"
"201808","11"
"201809","16"
"201810","12"
"201811","21"
"201812","11"
"201901","24"
"201902","16"
"201903","19"
"201904","27"
"201905","22"
"201906","23"
"201907","17"
"201908","18"
"201909","26"
"201910","16"
"201911","20"
"201912","11"
"202001","13"
"202002","15"
"202003","19"
"202004","24"
"202005","23"
"202006","12"
"202007","15"
"202008","14"
"202009","17"
"202010","10"
"202011","20"
"202012","17"
"202101","27"
"202102","24"
"202103","26"
"202104","29"
"202105","32"
"202106","25"
"202107","16"
"202108","26"
"202109","21"
"202110","14"
"202111","17"
"202112","8"
