year,count
"200808","122"
"200809","539"
"200810","509"
"200811","452"
"200812","440"
"200901","631"
"200902","629"
"200903","764"
"200904","767"
"200905","999"
"200906","1043"
"200907","1160"
"200908","1138"
"200909","1166"
"200910","1420"
"200911","1556"
"200912","1589"
"201001","1946"
"201002","1862"
"201003","2073"
"201004","1813"
"201005","2008"
"201006","2206"
"201007","2595"
"201008","2491"
"201009","2249"
"201010","2673"
"201011","2606"
"201012","2483"
"201101","2903"
"201102","3012"
"201103","3749"
"201104","3342"
"201105","3516"
"201106","3472"
"201107","3660"
"201108","3828"
"201109","3521"
"201110","3625"
"201111","3876"
"201112","3624"
"201201","4211"
"201202","4492"
"201203","5041"
"201204","4920"
"201205","5103"
"201206","5281"
"201207","5724"
"201208","5863"
"201209","5250"
"201210","6130"
"201211","6391"
"201212","5755"
"201301","6570"
"201302","6723"
"201303","7619"
"201304","7930"
"201305","7809"
"201306","7603"
"201307","8612"
"201308","7943"
"201309","7971"
"201310","9497"
"201311","9499"
"201312","8461"
"201401","9845"
"201402","9901"
"201403","11424"
"201404","10778"
"201405","9252"
"201406","8920"
"201407","9922"
"201408","9119"
"201409","8778"
"201410","9585"
"201411","9576"
"201412","9044"
"201501","9683"
"201502","10202"
"201503","11613"
"201504","11460"
"201505","11225"
"201506","11821"
"201507","12323"
"201508","11232"
"201509","10977"
"201510","12489"
"201511","12304"
"201512","11661"
"201601","12355"
"201602","13257"
"201603","14065"
"201604","13668"
"201605","13112"
"201606","12914"
"201607","12834"
"201608","12920"
"201609","12341"
"201610","13508"
"201611","14187"
"201612","13060"
"201701","14286"
"201702","14784"
"201703","17136"
"201704","15648"
"201705","16186"
"201706","16031"
"201707","16920"
"201708","16465"
"201709","15455"
"201710","16950"
"201711","16997"
"201712","14948"
"201801","16246"
"201802","16328"
"201803","17906"
"201804","16982"
"201805","17577"
"201806","16810"
"201807","17932"
"201808","17817"
"201809","16079"
"201810","18251"
"201811","18071"
"201812","15733"
"201901","16945"
"201902","17529"
"201903","19904"
"201904","19825"
"201905","18912"
"201906","17242"
"201907","19769"
"201908","18052"
"201909","16888"
"201910","20465"
"201911","20625"
"201912","18133"
"202001","20012"
"202002","20079"
"202003","22757"
"202004","27693"
"202005","29538"
"202006","27185"
"202007","26344"
"202008","23144"
"202009","21850"
"202010","22887"
"202011","22298"
"202012","24222"
"202101","26303"
"202102","24933"
"202103","28119"
"202104","26475"
"202105","26052"
"202106","24547"
"202107","24139"
"202108","23166"
"202109","22022"
"202110","23148"
"202111","25045"
"202112","10497"
