year,count
"201601","1"
"201607","1"
"201701","4"
"201702","3"
"201703","15"
"201704","22"
"201705","25"
"201706","57"
"201707","34"
"201708","33"
"201709","36"
"201710","44"
"201711","83"
"201712","55"
"201801","64"
"201802","65"
"201803","89"
"201804","99"
"201805","105"
"201806","124"
"201807","129"
"201808","126"
"201809","114"
"201810","131"
"201811","157"
"201812","186"
"201901","196"
"201902","195"
"201903","223"
"201904","231"
"201905","209"
"201906","200"
"201907","240"
"201908","229"
"201909","235"
"201910","267"
"201911","289"
"201912","287"
"202001","250"
"202002","298"
"202003","319"
"202004","391"
"202005","497"
"202006","486"
"202007","438"
"202008","389"
"202009","357"
"202010","349"
"202011","359"
"202012","491"
"202101","514"
"202102","417"
"202103","536"
"202104","554"
"202105","558"
"202106","552"
"202107","561"
"202108","490"
"202109","445"
"202110","445"
"202111","496"
"202112","200"
