year,count
"200808","1"
"200809","14"
"200810","13"
"200811","5"
"200812","5"
"200901","10"
"200902","13"
"200903","20"
"200904","23"
"200905","21"
"200906","19"
"200907","25"
"200908","30"
"200909","41"
"200910","27"
"200911","35"
"200912","42"
"201001","36"
"201002","39"
"201003","44"
"201004","39"
"201005","61"
"201006","69"
"201007","67"
"201008","64"
"201009","66"
"201010","54"
"201011","57"
"201012","76"
"201101","67"
"201102","94"
"201103","123"
"201104","125"
"201105","142"
"201106","172"
"201107","176"
"201108","156"
"201109","166"
"201110","156"
"201111","160"
"201112","150"
"201201","192"
"201202","208"
"201203","226"
"201204","249"
"201205","258"
"201206","274"
"201207","278"
"201208","320"
"201209","235"
"201210","252"
"201211","227"
"201212","240"
"201301","290"
"201302","274"
"201303","276"
"201304","326"
"201305","367"
"201306","319"
"201307","410"
"201308","386"
"201309","417"
"201310","466"
"201311","401"
"201312","436"
"201401","510"
"201402","484"
"201403","498"
"201404","441"
"201405","467"
"201406","425"
"201407","533"
"201408","493"
"201409","498"
"201410","441"
"201411","459"
"201412","486"
"201501","514"
"201502","475"
"201503","608"
"201504","626"
"201505","649"
"201506","705"
"201507","838"
"201508","703"
"201509","708"
"201510","713"
"201511","648"
"201512","714"
"201601","767"
"201602","873"
"201603","897"
"201604","846"
"201605","844"
"201606","951"
"201607","808"
"201608","905"
"201609","900"
"201610","850"
"201611","884"
"201612","802"
"201701","943"
"201702","829"
"201703","986"
"201704","917"
"201705","1043"
"201706","1054"
"201707","1097"
"201708","999"
"201709","937"
"201710","987"
"201711","1020"
"201712","846"
"201801","873"
"201802","902"
"201803","1051"
"201804","885"
"201805","957"
"201806","979"
"201807","1060"
"201808","964"
"201809","806"
"201810","881"
"201811","841"
"201812","769"
"201901","795"
"201902","811"
"201903","887"
"201904","781"
"201905","885"
"201906","806"
"201907","984"
"201908","813"
"201909","873"
"201910","947"
"201911","911"
"201912","815"
"202001","952"
"202002","931"
"202003","943"
"202004","1215"
"202005","1210"
"202006","1093"
"202007","1148"
"202008","1080"
"202009","1027"
"202010","947"
"202011","957"
"202012","1107"
"202101","1187"
"202102","1110"
"202103","1219"
"202104","1173"
"202105","1161"
"202106","1153"
"202107","1066"
"202108","1111"
"202109","969"
"202110","1002"
"202111","1038"
"202112","400"
