year,count
"200810","1"
"200906","1"
"200911","1"
"200912","1"
"201001","1"
"201003","3"
"201006","1"
"201007","3"
"201010","2"
"201011","2"
"201012","3"
"201102","1"
"201103","3"
"201105","2"
"201106","1"
"201107","4"
"201108","2"
"201109","1"
"201110","5"
"201111","2"
"201112","1"
"201201","1"
"201202","4"
"201203","2"
"201204","4"
"201205","2"
"201206","3"
"201207","4"
"201208","2"
"201209","3"
"201210","9"
"201211","7"
"201212","5"
"201301","8"
"201302","3"
"201303","11"
"201304","17"
"201305","14"
"201306","18"
"201307","11"
"201308","11"
"201309","7"
"201310","17"
"201311","17"
"201312","11"
"201401","25"
"201402","27"
"201403","30"
"201404","22"
"201405","14"
"201406","19"
"201407","22"
"201408","14"
"201409","27"
"201410","23"
"201411","25"
"201412","24"
"201501","26"
"201502","17"
"201503","28"
"201504","33"
"201505","35"
"201506","29"
"201507","24"
"201508","22"
"201509","25"
"201510","41"
"201511","34"
"201512","26"
"201601","26"
"201602","27"
"201603","40"
"201604","45"
"201605","34"
"201606","44"
"201607","35"
"201608","36"
"201609","38"
"201610","35"
"201611","37"
"201612","23"
"201701","42"
"201702","38"
"201703","53"
"201704","47"
"201705","55"
"201706","31"
"201707","40"
"201708","41"
"201709","45"
"201710","47"
"201711","26"
"201712","42"
"201801","53"
"201802","37"
"201803","49"
"201804","48"
"201805","60"
"201806","38"
"201807","45"
"201808","29"
"201809","40"
"201810","45"
"201811","50"
"201812","42"
"201901","34"
"201902","29"
"201903","41"
"201904","57"
"201905","47"
"201906","41"
"201907","43"
"201908","33"
"201909","36"
"201910","63"
"201911","56"
"201912","56"
"202001","53"
"202002","56"
"202003","62"
"202004","92"
"202005","90"
"202006","72"
"202007","63"
"202008","45"
"202009","55"
"202010","60"
"202011","63"
"202012","85"
"202101","60"
"202102","78"
"202103","78"
"202104","81"
"202105","67"
"202106","75"
"202107","59"
"202108","55"
"202109","57"
"202110","67"
"202111","73"
"202112","32"
