year,count
"201110","1"
"201307","1"
"201312","1"
"201511","199"
"201512","183"
"201601","169"
"201602","229"
"201603","242"
"201604","272"
"201605","333"
"201606","495"
"201607","482"
"201608","502"
"201609","444"
"201610","562"
"201611","691"
"201612","665"
"201701","777"
"201702","957"
"201703","1123"
"201704","1039"
"201705","1092"
"201706","1196"
"201707","1288"
"201708","1231"
"201709","990"
"201710","1180"
"201711","1158"
"201712","1004"
"201801","1137"
"201802","1050"
"201803","1351"
"201804","1393"
"201805","1441"
"201806","1200"
"201807","1298"
"201808","1270"
"201809","1016"
"201810","1079"
"201811","1072"
"201812","939"
"201901","1046"
"201902","1009"
"201903","1280"
"201904","1262"
"201905","1134"
"201906","1021"
"201907","1134"
"201908","1037"
"201909","911"
"201910","1110"
"201911","1137"
"201912","1120"
"202001","1066"
"202002","1101"
"202003","1187"
"202004","1291"
"202005","1475"
"202006","1341"
"202007","1359"
"202008","1234"
"202009","1054"
"202010","1013"
"202011","1036"
"202012","1259"
"202101","1338"
"202102","1271"
"202103","1366"
"202104","1317"
"202105","1267"
"202106","1174"
"202107","1135"
"202108","1035"
"202109","872"
"202110","884"
"202111","1000"
"202112","353"
